Dataset,Model,Batch Size,Optimizer,Learning Rate,Epochs,Test Accuracy (%),Epoch 1 Runtime (ms),Total Runtime (ms),Device
MNIST,resnet18,16,ADAM,0.001,5,99.28,194081.62,971547.0,cuda
MNIST,resnet18,16,ADAM,0.0001,5,99.21,191809.11,958670.95,cuda
MNIST,resnet18,32,ADAM,0.001,5,99.0,173681.16,859470.5,cuda
MNIST,resnet18,32,ADAM,0.0001,5,99.27,171601.7,859323.41,cuda
MNIST,resnet18,16,SGD,0.001,5,99.33,188122.99,941979.42,cuda
MNIST,resnet18,16,SGD,0.0001,5,97.9,188738.58,943497.58,cuda
MNIST,resnet18,32,SGD,0.001,5,99.27,171433.19,856937.3,cuda
MNIST,resnet18,32,SGD,0.0001,5,97.25,171568.77,857735.55,cuda
MNIST,resnet50,16,ADAM,0.001,5,99.01,350193.23,1727083.22,cuda
MNIST,resnet50,16,ADAM,0.0001,5,99.17,341493.33,1706056.81,cuda
MNIST,resnet50,32,ADAM,0.001,5,99.02,319466.55,1590057.04,cuda
MNIST,resnet50,32,ADAM,0.0001,5,99.32,317070.21,1578328.82,cuda
MNIST,resnet50,16,SGD,0.001,5,99.22,325169.08,1628113.73,cuda
MNIST,resnet50,16,SGD,0.0001,5,97.79,326116.34,1637266.34,cuda
MNIST,resnet50,32,SGD,0.001,5,99.12,332183.83,1655987.91,cuda
MNIST,resnet50,32,SGD,0.0001,5,95.78,331837.15,1658073.58,cuda
FashionMNIST,resnet18,16,ADAM,0.001,5,92.81,187449.13,935042.94,cuda
FashionMNIST,resnet18,16,ADAM,0.0001,5,92.95,187256.56,946554.74,cuda
FashionMNIST,resnet18,32,ADAM,0.001,5,92.73,174487.7,870338.54,cuda
FashionMNIST,resnet18,32,ADAM,0.0001,5,91.57,172103.23,853407.76,cuda
FashionMNIST,resnet18,16,SGD,0.001,5,91.71,182253.43,911484.88,cuda
FashionMNIST,resnet18,16,SGD,0.0001,5,87.12,183619.48,916310.83,cuda
FashionMNIST,resnet18,32,SGD,0.001,5,90.82,171733.72,858122.27,cuda
FashionMNIST,resnet18,32,SGD,0.0001,5,80.98,171223.8,858088.31,cuda
FashionMNIST,resnet50,16,ADAM,0.001,5,90.34,342037.03,1704399.08,cuda
FashionMNIST,resnet50,16,ADAM,0.0001,5,92.0,335767.13,1676796.41,cuda
FashionMNIST,resnet50,32,ADAM,0.001,5,90.4,317768.5,1601919.91,cuda
FashionMNIST,resnet50,32,ADAM,0.0001,5,90.48,322225.6,1610747.95,cuda
FashionMNIST,resnet50,16,SGD,0.001,5,91.76,337237.03,1663241.31,cuda
FashionMNIST,resnet50,16,SGD,0.0001,5,84.06,337501.8,1679177.3,cuda
FashionMNIST,resnet50,32,SGD,0.001,5,89.14,317924.35,1597492.79,cuda
FashionMNIST,resnet50,32,SGD,0.0001,5,78.95,316803.0,1589670.87,cuda
